ActivityName,ActivityID
Morning Yoga,1
Obstacle Course,2
Dance Party,3
Balloon Keep-Up,4
Animal Walks,5
Emotion Charades,6
Team Cleanup,7
Friendship Bracelets,8
Story Time Ethics,9
Compliment Circle,10
Puzzle Time,11
Counting Games,12
Color by Numbers,13
Clay Modeling,14
Shadow Play,15
Garden Exploration,16
Music Jam,17
Building Blocks,18
Drawing and Sketching,19
Science Experiment,20
Role-Playing,21
Storytelling,22
Yoga Poses,23
Cooking Class,24
Drawing with Shapes,25
Building with LEGO,26
Sensory Bins,27
Alphabet Scavenger Hunt,28
Counting Jars,29
Seasonal Craft,30
Simple Addition with Manipulatives,31
Music and Movement,32
Social Story Creation,33
Storytime Circle,34
Role Playing,35
Word Hunt,36
Picture Match,37
Alphabet Tracing,38
Simple Sentence Writing,39
Hindi Rhymes,40
Show and Tell,41
Letter Identification,42
Word Matching,43
Letter Tracing,44
Sentence Construction,45
Counting Objects,46
Number Line Game,47
Addition with Objects,48
Subtraction with Objects,49
Shape Sorting,50
Position Words Game,51
Nature Walk,52
Recycling Craft,53
Sorting Waste,54
Water Conservation Poster,55